IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
150098674,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Sunday,02-01-15,18:39,NORTHERN,"ARREST, BOOKED",CALIFORNIA ST / POLK ST,-122.4206917,37.79057707,"(37.7905770710537, -122.420691680792)",1.50099E+13
150098674,DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF DRUGS,Sunday,02-01-15,18:39,NORTHERN,"ARREST, BOOKED",CALIFORNIA ST / POLK ST,-122.4206917,37.79057707,"(37.7905770710537, -122.420691680792)",1.50099E+13
150098680,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Sunday,02-01-15,18:37,SOUTHERN,NONE,HOWARD ST / LAFAYETTE ST,-122.4163057,37.77245564,"(37.7724556440219, -122.416305723264)",1.50099E+13
150098696,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Saturday,01/31/2015,23:30,INGLESIDE,NONE,600 Block of SILVER AV,-122.423208,37.72884591,"(37.7288459128524, -122.423207985156)",1.50099E+13
150098709,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,02-01-15,14:30,TARAVAL,NONE,1300 Block of 16TH AV,-122.4739158,37.76275119,"(37.7627511939927, -122.47391580547)",1.50099E+13
150098715,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,02-01-15,08:00,RICHMOND,UNFOUNDED,GOLDEN GATE AV / STANYAN ST,-122.4551256,37.77702363,"(37.777023633257, -122.455125552189)",1.50099E+13
150098721,NON-CRIMINAL,FOUND PROPERTY,Sunday,02-01-15,14:00,TARAVAL,NONE,41ST AV / LINCOLN WY,-122.5008283,37.76440364,"(37.7644036412279, -122.500828300284)",1.50099E+13
150098743,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,01/28/2015,16:00,TARAVAL,NONE,LINCOLN WY / 38TH AV,-122.497614,37.76454332,"(37.7645433165084, -122.49761402653)",1.50099E+13
150098759,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Saturday,01/31/2015,17:20,SOUTHERN,NONE,400 Block of 10TH ST,-122.4105412,37.77091306,"(37.7709130566165, -122.410541166987)",1.50099E+13
150098765,ASSAULT,BATTERY,Sunday,02-01-15,19:06,SOUTHERN,NONE,MISSION ST / DUBOCE AV,-122.4200102,37.77010993,"(37.7701099298175, -122.420010175609)",1.50099E+13
